Open,High,Low,Close,Volume,Date
25.3411,25.3411,25.2531,25.2883,36800,1993-08-04
25.3587,25.3763,25.2883,25.3235,402300,1993-08-05
25.3939,25.5347,25.3411,25.4643,828200,1993-08-08
25.4467,25.4467,25.4467,25.4467,604900,1993-08-09
25.4291,25.5171,25.4291,25.4467,542200,1993-08-10
25.5171,25.5171,25.2883,25.3763,303700,1993-08-11
25.3939,25.4291,25.3939,25.4115,103500,1993-08-12
25.4291,25.6227,25.4291,25.5523,241800,1993-08-15
25.5347,25.6403,25.5347,25.6403,369300,1993-08-16
25.7283,25.8339,25.7106,25.781,414300,1993-08-17
25.7987,25.7987,25.7458,25.781,28500,1993-08-18
25.7283,25.7987,25.7106,25.7987,80700,1993-08-19
25.6931,25.7635,25.6931,25.7458,15600,1993-08-22
25.7458,26.0274,25.7458,26.0274,273400,1993-08-23
26.0274,26.1506,25.9922,26.045,242300,1993-08-24
26.0626,26.0626,26.0626,26.0626,120000,1993-08-25
25.9922,26.045,25.9922,26.045,25700,1993-08-26
26.0626,26.1858,26.0626,26.1506,183500,1993-08-29
26.133,26.221,26.0978,26.221,66500,1993-08-30
26.133,26.2386,26.133,26.1858,136500,1993-08-31
26.2034,26.2386,26.0802,26.0978,472400,1993-09-01
26.0802,26.1506,26.045,26.1154,630500,1993-09-02
26.1154,26.1506,25.9042,25.9394,196400,1993-09-06
25.9394,25.9394,25.6754,25.8514,269900,1993-09-07
25.7458,25.9218,25.7458,25.9042,239200,1993-09-08
25.9746,26.1506,25.9394,26.133,106500,1993-09-09
26.221,26.221,26.1506,26.1506,66900,1993-09-12
26.0802,26.0802,25.957,26.045,184500,1993-09-13
25.9394,26.133,25.8514,26.1154,101000,1993-09-14
26.0802,26.0978,25.9922,26.0098,54300,1993-09-15
25.9951,26.0128,25.9243,25.9597,200900,1993-09-16
25.9951,26.0482,25.7472,25.7472,57800,1993-09-19
25.7826,25.8181,25.3931,25.6587,318200,1993-09-20
25.7472,25.9066,25.7118,25.8712,439700,1993-09-21
25.942,26.0305,25.9066,26.0128,88500,1993-09-22
25.9774,25.9951,25.9066,25.942,53500,1993-09-23
26.1368,26.2253,26.1368,26.2253,274600,1993-09-26
26.243,26.243,26.1545,26.1722,158300,1993-09-27
26.1722,26.243,26.0482,26.0836,221000,1993-09-28
26.0836,26.1368,25.9774,26.0305,99300,1993-09-29
25.9951,26.1899,25.9597,26.1545,22700,1993-09-30
26.1899,26.1899,26.1899,26.1899,1038500,1993-10-03
26.243,26.243,26.066,26.1545,436500,1993-10-04
26.1722,26.2785,26.1368,26.1368,209200,1993-10-05
26.1722,26.1722,26.0482,26.066,59400,1993-10-06
26.1368,26.1545,25.9066,26.1014,54400,1993-10-07
26.1545,26.1545,26.1545,26.1545,467100,1993-10-10
26.1899,26.1899,26.1899,26.1899,26200,1993-10-11
26.2076,26.2076,26.1545,26.1899,139100,1993-10-12
26.2961,26.5264,26.2253,26.5264,108100,1993-10-13
26.6503,26.7211,26.5795,26.668,1502500,1993-10-14
26.6503,26.6503,26.5618,26.5972,722400,1993-10-17
26.5618,26.6149,26.4024,26.4024,880100,1993-10-18
26.491,26.491,26.3847,26.4378,230400,1993-10-19
26.4555,26.4555,26.367,26.4024,56200,1993-10-20
26.4378,26.544,26.2785,26.2785,390700,1993-10-21
26.2961,26.3847,26.2253,26.3493,114500,1993-10-24
26.3316,26.3316,26.3316,26.3316,186200,1993-10-25
26.2961,26.367,26.2961,26.3493,118400,1993-10-26
26.3847,26.6149,26.3847,26.544,129600,1993-10-27
26.5264,26.5618,26.5086,26.544,80700,1993-10-28
26.5086,26.6326,26.5086,26.6149,36400,1993-10-31
26.5795,26.58835,26.58835,26.5972,262100,1993-11-01
26.5795,26.5795,26.1368,26.2607,479100,1993-11-02
26.2607,26.2607,25.9597,25.9774,130400,1993-11-03
25.9066,26.1014,25.8003,26.1014,363200,1993-11-04
26.1191,26.2076,26.0482,26.1368,367600,1993-11-07
26.3139,26.3316,26.1368,26.1545,246900,1993-11-08
26.1545,26.3493,26.0836,26.3493,46500,1993-11-09
26.3493,26.4201,26.2607,26.2785,88900,1993-11-10
26.3316,26.491,26.3139,26.4024,108200,1993-11-11
26.4555,26.4555,26.3139,26.3847,243300,1993-11-14
26.4378,26.5264,26.3316,26.5086,492600,1993-11-15
26.5264,26.5264,26.2961,26.367,39600,1993-11-16
26.3316,26.3847,26.2253,26.2961,240800,1993-11-17
26.2076,26.2785,26.1899,26.243,106000,1993-11-18
26.1722,26.1899,25.9951,26.0836,165300,1993-11-21
26.2253,26.2253,26.2253,26.2253,89700,1993-11-22
26.2961,26.3493,26.2607,26.3316,77200,1993-11-23
26.4024,26.4024,26.3316,26.3493,1019800,1993-11-25
26.4201,26.4732,26.243,26.243,517500,1993-11-28
26.2253,26.3847,26.2076,26.2607,230000,1993-11-29
26.4024,26.4201,26.2961,26.2961,379200,1993-11-30
26.3493,26.3847,26.2961,26.367,352000,1993-12-01
26.3493,26.4732,26.3493,26.4732,306000,1993-12-02
26.5086,26.5972,26.5086,26.5618,99500,1993-12-05
26.5618,26.5795,26.5086,26.544,88800,1993-12-06
26.544,26.544,26.544,26.544,146700,1993-12-07
26.544,26.5795,26.4201,26.4555,416500,1993-12-08
26.4732,26.4732,26.3493,26.4024,412900,1993-12-09
26.4024,26.5618,26.367,26.5618,273200,1993-12-12
26.5795,26.5795,26.367,26.367,41900,1993-12-13
26.4024,26.4201,26.3316,26.3316,82600,1993-12-14
26.4378,26.4378,26.3847,26.4201,78200,1993-12-15
26.4752,26.5821,26.4574,26.5643,104700,1993-12-16
26.5465,26.6178,26.5287,26.6,68800,1993-12-19
26.5643,26.5643,26.4752,26.5108,205700,1993-12-20
26.5821,26.707,26.5287,26.6891,410300,1993-12-21
26.6713,26.6713,26.6713,26.6713,533800,1993-12-22
26.6713,26.8139,26.6713,26.8139,447100,1993-12-26
26.7961,26.8852,26.7783,26.8674,880600,1993-12-27
26.8852,26.903,26.8139,26.8317,266700,1993-12-28
26.8139,26.8139,26.6713,26.7248,219900,1993-12-29
26.7783,26.8139,26.5643,26.5821,312900,1993-12-30
26.5821,26.6178,26.4752,26.5108,960900,1994-01-02
26.5465,26.6178,26.5108,26.6178,164300,1994-01-03
26.6534,26.6891,26.5465,26.6713,710900,1994-01-04
26.707,26.7248,26.6356,26.6713,201000,1994-01-05
26.7248,26.8496,26.6534,26.8317,775500,1994-01-06
26.8674,27.1526,26.7961,27.1526,593700,1994-01-09
27.1348,27.1348,27.01,27.0992,295200,1994-01-10
27.117,27.117,26.9209,27.01,158400,1994-01-11
26.9387,26.9387,26.9387,26.9387,244300,1994-01-12
27.0279,27.0992,27.0279,27.0457,137200,1994-01-13
27.0457,27.0457,27.0457,27.0457,17700,1994-01-16
27.0813,27.0813,27.0813,27.0813,166400,1994-01-17
27.0457,27.0813,26.9566,27.01,200800,1994-01-18
27.0457,27.0992,27.0279,27.0813,281100,1994-01-19
27.117,27.117,27.01,27.0279,85600,1994-01-20
27.01,27.1348,26.9209,26.9209,373800,1994-01-23
26.9387,26.9566,26.8674,26.9209,310400,1994-01-24
26.9209,27.01,26.8852,26.9922,145100,1994-01-25
27.0457,27.2775,27.01,27.2418,344500,1994-01-26
27.3488,27.4022,27.3131,27.3131,356500,1994-01-27
